,precision,recall
0,0.14007871220420892,1.0
1,0.1427848756975949,0.9614671898844561
2,0.215035061734465,0.9534826684107259
3,0.34733904844412655,0.9396119468061914
4,0.3805989131691525,0.8970459995639852
5,0.42448979591836733,0.7708742097231306
6,0.4824263190299007,0.4911161979507303
7,0.47952397619880993,0.48533900152605186
8,0.5086768575366496,0.44252779594506214
9,0.5230989574659428,0.42797580117724005
10,0.5225901103664433,0.427103771528232
11,0.6529775193395981,0.34273490298670156
12,0.6528874117158289,0.342598648354044
13,0.6892198499040084,0.322841726618705
14,0.7860701283770838,0.2235938521909745
15,0.7859470858895705,0.2234303466317855
16,0.8014347937483987,0.17048179638107697
17,0.9976990335941095,0.05908000872029649
18,1.0,0.05733594942228036
19,1.0,0.0
