,index,B01001_001E,B01001_002E,B01001_003E,B01001_004E,B01001_005E,B01001_006E,B01001_007E,B01001_008E,B01001_009E,B01001_010E,B03002_001E,B03002_002E,B03002_003E,B03002_004E,B03002_005E,B03002_006E,B03002_007E,B03002_008E,B03002_009E,B03002_010E,B03002_011E,B03002_012E,B03002_013E,B03002_014E,B03002_015E,B03002_016E,B03002_017E,B03002_018E,B03002_019E,B03002_020E,B15003_001E,B15003_002E,B15003_003E,B15003_004E,B15003_005E,B15003_006E,B15003_007E,B15003_008E,B15003_009E,B15003_010E,B15003_011E,B15003_012E,B15003_013E,B15003_014E,B15003_015E,B15003_016E,B15003_017E,B15003_018E,B15003_019E,B15003_020E,B15003_021E,B15003_022E,B15003_023E,B15003_024E,B15003_025E
1092,"Census Tract 8039.01, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:803901",3487,1721,74,80,107,71,59,7,7,9,3487,3225,2895,45,0,253,0,0,32,0,32,262,182,0,64,0,0,16,0,0,2727,64,0,0,0,2,2,8,0,2,15,38,0,21,19,60,458,33,176,417,117,891,367,19,18
1093,"Census Tract 8041.06, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:804106",7179,3455,165,178,164,273,147,20,29,107,7179,6705,4728,73,0,1682,0,0,222,0,222,474,326,0,14,0,0,134,0,0,5107,40,0,0,0,20,20,0,0,13,0,0,0,0,0,31,357,44,151,662,467,1874,1072,172,184
1094,"Census Tract 8060.01, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:806001",5912,2982,384,73,139,35,28,50,22,76,5912,5054,1966,399,49,2405,0,69,166,0,166,858,723,0,0,45,0,90,0,0,4477,112,0,0,0,0,0,0,0,20,0,0,56,0,16,138,1178,106,152,738,506,933,307,122,93
1095,"Census Tract 8065.02, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:806502",4679,2360,172,118,147,86,69,33,66,80,4679,3134,2461,94,0,406,0,0,173,0,173,1545,1085,0,0,13,0,388,59,18,3185,24,0,0,26,0,0,24,14,101,0,7,29,84,7,110,962,121,118,344,295,696,165,32,26
1096,"Census Tract 8097, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:809700",4018,1999,134,190,178,113,51,47,0,27,4018,2988,1497,1031,0,49,0,46,365,113,252,1030,722,0,0,10,0,191,107,52,2694,38,0,0,48,0,0,0,25,124,0,67,34,33,33,12,362,0,164,467,72,561,511,49,94
1097,"Census Tract 8107.02, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:810702",4085,1840,237,146,35,43,9,9,0,84,4085,2557,2281,53,8,171,0,0,44,0,44,1528,780,52,68,0,0,605,23,15,2914,50,0,0,8,0,41,19,8,0,5,69,113,79,9,66,727,120,236,431,283,453,181,8,8
1098,"Census Tract 8120, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:812000",5316,2572,301,124,280,145,67,0,28,65,5316,5011,4186,242,0,343,0,70,170,0,170,305,181,12,0,0,0,88,24,24,3528,44,0,0,0,0,0,0,0,0,0,0,0,0,0,14,157,52,117,366,119,1360,696,445,158
1099,"Census Tract 8122, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:812200",4010,2101,126,249,232,88,50,24,7,85,4010,3845,2988,435,0,119,0,74,229,0,229,165,144,0,0,0,0,21,0,0,2504,0,7,0,0,0,0,0,0,0,0,12,6,32,25,9,203,0,28,178,30,714,737,362,161
1100,"Census Tract 8124, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:812400",3384,1756,113,160,218,48,10,0,0,46,3384,3263,2647,248,0,219,0,11,138,0,138,121,99,0,0,12,0,10,0,0,2249,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,81,23,20,223,49,627,677,351,182
1101,"Census Tract 8145, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:814500",5576,2746,134,263,250,61,83,98,48,152,5576,735,608,127,0,0,0,0,0,0,0,4841,1979,15,28,0,0,2724,95,56,3469,122,7,0,6,8,49,10,79,386,21,123,130,86,110,76,944,78,136,494,158,383,63,0,0
