,GEOID,total_pop,medhhinc,year,share_BA+,a35to64_share
114,17031271400,1151,28750,2010-14,9.8,39.099999999999994
115,17031271500,1286,22250,2010-14,14.0,35.900000000000006
116,17031271800,1230,27031,2010-14,7.4,34.2
117,17031280100,6524,104296,2010-14,84.6,31.9
118,17031280400,1366,15000,2010-14,15.6,31.8
119,17031280800,850,18750,2010-14,17.6,35.8
120,17031280900,790,20225,2010-14,33.5,35.1
121,17031281900,4820,79179,2010-14,91.7,24.9
122,17031282700,2402,56531,2010-14,51.7,29.6
123,17031282800,1565,64194,2010-14,49.8,39.599999999999994
124,17031283100,2758,45764,2010-14,63.9,22.999999999999996
125,17031283200,1481,50363,2010-14,78.9,31.8
126,17031283800,3367,52393,2010-14,55.8,33.800000000000004
127,17031290900,3449,18226,2010-14,7.7,34.1
128,17031291200,2368,21763,2010-14,1.5,22.9
129,17031291600,804,33864,2010-14,9.4,47.6
130,17031292200,2866,21573,2010-14,11.4,38.9
131,17031292400,2124,24010,2010-14,3.3,33.9
132,17031292500,4276,29643,2010-14,10.0,32.4
133,17031300500,3015,34852,2010-14,4.9,31.899999999999995
134,17031300600,3398,38611,2010-14,9.2,34.5
135,17031300700,4694,29505,2010-14,8.7,29.999999999999996
136,17031300800,4674,29805,2010-14,3.9,33.5
137,17031300900,3963,25272,2010-14,2.2,35.400000000000006
138,17031301100,3182,28058,2010-14,11.9,26.499999999999993
139,17031301200,3518,31026,2010-14,10.0,27.200000000000003
140,17031301600,4513,28353,2010-14,5.2,32.2
141,17031301701,3744,35597,2010-14,2.6,33.9
142,17031301702,3694,25734,2010-14,1.9,33.5
143,17031301801,4246,33449,2010-14,2.7,34.4
144,17031301802,2897,37321,2010-14,6.3,32.8
145,17031301803,5054,32464,2010-14,2.9,28.200000000000003
146,17031310200,1526,55313,2010-14,46.7,44.7
147,17031310300,1493,50179,2010-14,44.9,35.900000000000006
148,17031310400,1426,49792,2010-14,46.6,37.1
149,17031310500,1722,35927,2010-14,11.6,33.5
150,17031310600,5141,28352,2010-14,21.9,32.1
151,17031310700,1241,33500,2010-14,28.1,27.6
152,17031310800,4734,38780,2010-14,11.3,29.1
153,17031310900,5065,33924,2010-14,14.3,30.9
154,17031320100,10534,103318,2010-14,81.0,43.7
155,17031320400,2523,145250,2010-14,86.5,17.2
156,17031320600,4451,84201,2010-14,85.1,33.1
157,17031330100,17582,74009,2010-14,68.8,40.6
158,17031330200,3756,80726,2010-14,64.7,45.8
159,17031340300,1734,26402,2010-14,12.5,38.2
160,17031340400,1740,26364,2010-14,38.9,43.4
161,17031340500,1688,27770,2010-14,24.4,32.800000000000004
162,17031340600,1066,11708,2010-14,2.2,24.7
163,17031350100,1989,45659,2010-14,68.4,39.8
164,17031350400,1379,9500,2010-14,0.0,27.0
165,17031351000,4022,45806,2010-14,46.4,40.1
166,17031351100,1656,11358,2010-14,8.3,28.4
167,17031351400,1551,9680,2010-14,14.7,42.8
168,17031351500,415,29286,2010-14,57.7,36.199999999999996
169,17031360200,1616,16317,2010-14,15.7,28.200000000000003
170,17031380100,1822,31696,2010-14,33.6,46.2
171,17031380200,1752,18897,2010-14,28.9,27.3
172,17031380500,820,27102,2010-14,2.0,34.400000000000006
173,17031380700,1216,26100,2010-14,5.0,44.6
174,17031381200,1946,41119,2010-14,15.4,45.800000000000004
175,17031381400,1746,38462,2010-14,18.2,35.1
176,17031381500,250,28942,2010-14,5.8,47.6
177,17031381700,0,-666666666,2010-14,-666666666.0,-3999999996.0
178,17031381800,1102,30757,2010-14,11.9,41.0
179,17031381900,1293,38125,2010-14,33.3,43.5
180,17031390100,1386,54886,2010-14,40.1,50.1
181,17031390200,1637,44491,2010-14,44.3,46.199999999999996
182,17031390300,2909,20938,2010-14,30.6,29.199999999999996
183,17031390400,2524,23860,2010-14,18.6,43.400000000000006
184,17031390500,1643,44053,2010-14,60.0,44.1
185,17031390600,1976,64609,2010-14,73.7,37.60000000000001
186,17031390700,6142,52484,2010-14,74.1,29.800000000000004
187,17031400300,1329,39760,2010-14,26.5,31.2
188,17031400400,1661,23431,2010-14,24.9,37.7
189,17031400500,2422,25323,2010-14,13.0,32.6
190,17031400800,2839,11806,2010-14,0.0,26.299999999999997
191,17031410100,1956,34083,2010-14,50.5,38.7
192,17031410200,1248,22361,2010-14,78.0,15.1
193,17031410500,2630,43611,2010-14,66.0,32.7
194,17031410600,2365,41136,2010-14,64.8,31.7
195,17031410700,1959,43145,2010-14,67.9,26.9
196,17031410800,3201,38108,2010-14,61.4,30.9
197,17031410900,2923,54246,2010-14,72.2,36.2
198,17031411000,3313,56123,2010-14,76.1,37.7
199,17031411100,2246,100250,2010-14,94.5,33.800000000000004
200,17031411200,1691,94306,2010-14,88.2,38.9
201,17031420100,1224,16847,2010-14,9.5,40.1
