,GEOID,total_pop,medhhinc,year,share_BA+,a35to64_share
507,17031190100,2720,29286,2010-14,6.4,37.7
508,17031190200,5694,46846,2010-14,19.4,38.900000000000006
509,17031190300,5445,46413,2010-14,9.2,38.9
510,17031190401,4183,52539,2010-14,13.8,39.1
511,17031190402,4642,36098,2010-14,13.7,38.0
512,17031190601,4777,48696,2010-14,6.8,36.1
513,17031190602,5265,48373,2010-14,13.3,40.7
514,17031190701,3072,40750,2010-14,4.9,32.5
515,17031190702,5090,41563,2010-14,7.3,34.800000000000004
516,17031190800,6881,39789,2010-14,11.5,35.0
517,17031190900,1864,33967,2010-14,15.2,37.099999999999994
518,17031191000,2901,47457,2010-14,8.1,37.300000000000004
519,17031191100,7936,45198,2010-14,7.3,33.5
520,17031191200,3975,35739,2010-14,3.7,32.099999999999994
521,17031191301,5941,40719,2010-14,7.8,32.6
522,17031818402,3085,60000,2010-14,28.3,37.8
523,17031818500,5557,68932,2010-14,38.1,40.3
524,17031818600,4773,63750,2010-14,39.6,42.1
525,17031818700,3575,84833,2010-14,42.8,48.2
526,17031818800,5630,70862,2010-14,31.0,42.7
527,17031818900,4751,58854,2010-14,37.2,40.1
528,17031819000,4595,111506,2010-14,81.0,41.3
529,17031819100,4358,52656,2010-14,21.3,39.3
530,17031819200,6383,51371,2010-14,9.6,36.5
531,17031819300,3028,78043,2010-14,33.8,40.4
532,17031819400,5232,77128,2010-14,35.1,44.6
533,17031819500,3119,62237,2010-14,43.5,45.099999999999994
534,17031819600,3849,124653,2010-14,68.0,47.400000000000006
535,17031819700,5985,150785,2010-14,80.2,44.800000000000004
536,17031819801,5405,147543,2010-14,80.9,44.599999999999994
537,17031819802,2637,129632,2010-14,81.4,43.2
538,17031819900,3416,148000,2010-14,76.3,42.5
539,17031820000,2008,178194,2010-14,83.4,46.1
540,17031820101,7415,76483,2010-14,58.4,41.699999999999996
541,17031820103,3989,56211,2010-14,33.1,37.1
542,17031820104,4123,59671,2010-14,35.9,42.400000000000006
543,17031820201,8087,83662,2010-14,51.3,46.2
544,17031820202,3607,52054,2010-14,14.5,41.1
545,17031820300,5203,50363,2010-14,14.8,31.6
546,17031820400,6164,46386,2010-14,7.1,34.4
547,17031820501,6260,57278,2010-14,10.2,38.9
548,17031820502,5092,53562,2010-14,15.8,39.2
549,17031820603,5277,56250,2010-14,7.8,40.2
550,17031820604,4152,37054,2010-14,11.8,32.0
551,17031820605,4169,44307,2010-14,14.5,31.4
552,17031820606,3748,62623,2010-14,30.3,47.0
553,17031820700,6810,50150,2010-14,3.7,42.4
554,17031820800,4223,69250,2010-14,7.6,33.599999999999994
555,17031820901,5462,46602,2010-14,7.7,34.50000000000001
556,17031820902,4774,52596,2010-14,6.0,40.6
557,17031821001,5287,61832,2010-14,14.7,39.800000000000004
558,17031821002,5695,57019,2010-14,11.3,36.800000000000004
559,17031821101,4548,74176,2010-14,15.9,44.199999999999996
560,17031821102,4191,51827,2010-14,12.6,42.8
561,17031821200,6240,36890,2010-14,14.5,40.9
562,17031821300,5488,38429,2010-14,11.1,35.9
563,17031821401,3432,39239,2010-14,5.9,44.6
564,17031821402,3718,51548,2010-14,9.6,42.8
565,17031821500,2020,34511,2010-14,9.4,31.1
566,17031821600,4503,67784,2010-14,19.2,41.4
567,17031821700,4855,64943,2010-14,36.7,40.9
568,17031821800,5428,79539,2010-14,27.1,38.6
569,17031821900,5138,58611,2010-14,23.2,44.1
570,17031822000,4358,48750,2010-14,13.2,39.6
571,17031822101,4429,68715,2010-14,19.7,43.5
572,17031822102,4752,42417,2010-14,19.5,40.8
573,17031822200,3786,69323,2010-14,15.6,37.0
574,17031822301,4119,61693,2010-14,26.1,37.7
575,17031822302,4530,62500,2010-14,14.6,36.7
576,17031822400,6675,44602,2010-14,19.4,33.5
577,17031822500,4424,71280,2010-14,28.2,41.199999999999996
578,17031822601,4555,65045,2010-14,32.2,39.7
579,17031822602,7274,58763,2010-14,32.5,41.4
580,17031822701,4148,39609,2010-14,28.7,37.9
581,17031822702,3190,41462,2010-14,25.3,43.599999999999994
582,17031822801,3473,51750,2010-14,35.4,38.599999999999994
583,17031822802,3574,62721,2010-14,32.5,38.6
584,17031822900,1974,59286,2010-14,10.9,40.3
585,17031823001,6009,41250,2010-14,12.3,35.1
586,17031823002,6045,53093,2010-14,13.8,42.300000000000004
587,17031823101,4395,49444,2010-14,13.9,42.8
588,17031823102,3722,50255,2010-14,6.5,38.6
589,17031823200,4649,62382,2010-14,15.2,42.5
590,17031823302,6234,54078,2010-14,12.4,32.400000000000006
591,17031823303,4682,46477,2010-14,19.8,39.199999999999996
592,17031823304,6096,42069,2010-14,13.9,35.4
593,17031823400,5064,47763,2010-14,10.8,35.0
594,17031823500,4896,51660,2010-14,19.0,36.8
595,17031823602,6152,57256,2010-14,25.7,37.3
596,17031823603,2384,34537,2010-14,20.1,34.3
597,17031823604,3587,80938,2010-14,49.1,40.199999999999996
598,17031823605,4268,67263,2010-14,37.1,36.6
599,17031823702,6888,50055,2010-14,24.2,40.800000000000004
600,17031823703,7414,51580,2010-14,14.6,36.900000000000006
601,17031823704,4187,80030,2010-14,32.1,43.5
602,17031823705,4849,47972,2010-14,17.0,36.8
603,17031823801,5394,65917,2010-14,48.0,45.7
604,17031823803,7011,56710,2010-14,20.0,39.9
605,17031823805,2898,53750,2010-14,24.8,46.6
606,17031823806,3575,52643,2010-14,17.4,40.89999999999999
607,17031823901,3851,76458,2010-14,47.5,41.8
608,17031823903,4715,110357,2010-14,52.4,42.300000000000004
609,17031823904,4137,72377,2010-14,37.7,40.2
610,17031824003,6208,87074,2010-14,36.8,44.4
611,17031824004,5507,68178,2010-14,40.4,38.9
612,17031824005,5571,91060,2010-14,32.6,43.699999999999996
613,17031824006,4143,101875,2010-14,50.1,42.7
614,17031824105,6399,87782,2010-14,51.9,48.5
615,17031824106,7149,84643,2010-14,45.5,43.4
616,17031824107,6617,78411,2010-14,32.9,43.2
617,17031824108,7684,71286,2010-14,35.5,42.599999999999994
618,17031824113,7166,98025,2010-14,38.4,45.800000000000004
619,17031824114,4941,97625,2010-14,66.5,43.10000000000001
620,17031824115,3602,70167,2010-14,33.1,42.599999999999994
621,17031824116,4874,48732,2010-14,31.0,39.6
622,17031824117,9883,101875,2010-14,40.4,44.7
623,17031824119,6000,93906,2010-14,47.0,42.699999999999996
624,17031824120,8612,72051,2010-14,52.3,38.6
625,17031824121,3297,83000,2010-14,27.6,43.099999999999994
626,17031824122,6075,86652,2010-14,38.7,44.0
627,17031824123,8552,75700,2010-14,28.3,41.699999999999996
628,17031824300,4885,22874,2010-14,5.7,42.0
629,17031824400,2309,32212,2010-14,6.1,38.50000000000001
630,17031824503,6602,62738,2010-14,39.3,43.900000000000006
631,17031824505,7161,78750,2010-14,24.1,40.8
632,17031824506,7855,82284,2010-14,34.2,40.300000000000004
633,17031824507,4449,57051,2010-14,28.4,35.4
634,17031824601,4805,69638,2010-14,19.8,43.0
635,17031824602,6838,59400,2010-14,25.8,47.1
636,17031824701,3949,55526,2010-14,10.7,40.4
637,17031824702,5650,60114,2010-14,16.9,40.0
638,17031824800,7758,38248,2010-14,7.4,37.400000000000006
639,17031824900,3124,37692,2010-14,10.1,42.5
640,17031825000,4933,60139,2010-14,17.7,47.2
641,17031825200,1862,64167,2010-14,10.0,41.6
642,17031825302,5625,66477,2010-14,19.4,39.900000000000006
643,17031825303,4048,62546,2010-14,35.1,38.6
644,17031825304,3926,74762,2010-14,30.2,42.8
645,17031825400,5395,66133,2010-14,17.9,38.0
646,17031825501,5723,45153,2010-14,17.2,38.7
647,17031825503,7215,54521,2010-14,36.5,36.2
648,17031825504,3780,55785,2010-14,19.2,42.3
649,17031825505,5291,55858,2010-14,34.9,45.8
650,17031825600,5612,36607,2010-14,11.2,37.199999999999996
651,17031825700,4225,38750,2010-14,6.2,37.9
652,17031825801,3705,30199,2010-14,15.0,35.7
653,17031825802,5234,42113,2010-14,16.7,38.5
654,17031825803,5026,33750,2010-14,14.2,42.0
655,17031825900,3520,37975,2010-14,7.1,34.2
656,17031826000,3466,33553,2010-14,10.9,28.599999999999994
657,17031826100,7156,53115,2010-14,16.9,36.1
658,17031826201,3691,30662,2010-14,20.3,36.800000000000004
659,17031826202,5977,47651,2010-14,4.6,46.199999999999996
660,17031826301,4165,62609,2010-14,18.2,37.800000000000004
661,17031826303,4260,51025,2010-14,22.1,42.800000000000004
662,17031826304,3091,34890,2010-14,7.3,33.900000000000006
663,17031826401,4140,50133,2010-14,12.0,43.2
664,17031826402,5208,51301,2010-14,7.4,43.1
665,17031826500,6469,41995,2010-14,12.3,35.8
666,17031826600,6026,43488,2010-14,10.7,39.7
667,17031826700,5204,33450,2010-14,7.2,45.0
668,17031826800,4767,36032,2010-14,2.7,37.400000000000006
669,17031826901,1579,20072,2010-14,0.0,40.8
670,17031826902,1090,26685,2010-14,3.4,41.9
671,17031827000,3735,23844,2010-14,3.4,41.2
672,17031827100,2592,26598,2010-14,5.1,38.0
673,17031827200,4330,33214,2010-14,8.8,33.4
674,17031827300,3295,23125,2010-14,8.1,35.3
675,17031827400,4594,21107,2010-14,6.4,38.3
676,17031827500,5368,25718,2010-14,3.0,41.1
677,17031827600,3545,30224,2010-14,9.6,36.2
678,17031827700,2907,36818,2010-14,11.1,38.199999999999996
679,17031827801,4752,58322,2010-14,23.5,39.4
680,17031827802,3602,71000,2010-14,33.4,39.99999999999999
681,17031827804,3089,67443,2010-14,32.3,45.1
682,17031827805,3092,68924,2010-14,23.3,44.900000000000006
683,17031827901,2456,83922,2010-14,28.8,44.9
684,17031827902,4442,49317,2010-14,15.4,42.800000000000004
685,17031828000,5258,46583,2010-14,14.1,38.0
686,17031828100,4740,50379,2010-14,29.2,37.9
687,17031828201,4290,57071,2010-14,15.8,42.3
688,17031828202,4558,47833,2010-14,20.3,41.199999999999996
689,17031828300,3728,44333,2010-14,9.3,44.599999999999994
690,17031828401,3681,65625,2010-14,40.7,40.900000000000006
691,17031828402,3950,43878,2010-14,25.6,36.4
692,17031828503,4781,50694,2010-14,16.0,40.300000000000004
693,17031828504,5862,36250,2010-14,7.5,37.900000000000006
694,17031828505,6488,59736,2010-14,22.7,46.4
695,17031828506,9252,42254,2010-14,25.8,35.6
696,17031828601,4058,84074,2010-14,44.8,44.7
697,17031828602,4670,80893,2010-14,48.6,40.5
698,17031828701,3604,50895,2010-14,26.5,39.7
699,17031828702,5212,53750,2010-14,19.6,39.2
700,17031828801,5117,79286,2010-14,39.7,41.099999999999994
701,17031828802,3557,64978,2010-14,15.9,41.8
702,17031828900,3494,31484,2010-14,10.1,34.5
703,17031829000,1481,22035,2010-14,3.6,26.6
704,17031829100,3793,26352,2010-14,6.2,31.4
705,17031829200,6143,48272,2010-14,14.5,38.1
706,17031829301,3716,63991,2010-14,30.0,40.0
707,17031829302,3967,32264,2010-14,7.4,34.1
708,17031829401,1544,24764,2010-14,7.1,29.8
709,17031829402,3363,37986,2010-14,22.2,35.900000000000006
710,17031829500,4154,33833,2010-14,11.8,37.8
711,17031829600,3043,47105,2010-14,12.2,37.5
712,17031829700,4168,30813,2010-14,7.6,40.0
713,17031829800,6543,100549,2010-14,60.4,48.7
714,17031829901,9136,62863,2010-14,34.7,45.400000000000006
715,17031829902,6377,73690,2010-14,45.6,46.9
716,17031830001,2263,36118,2010-14,14.4,40.2
717,17031830003,7952,75602,2010-14,25.8,42.400000000000006
718,17031830004,7108,70096,2010-14,39.5,44.4
719,17031830005,4192,88672,2010-14,49.0,43.400000000000006
720,17031830006,2263,50243,2010-14,16.2,41.1
721,17031830007,4565,47083,2010-14,22.1,46.599999999999994
722,17031830008,4595,71896,2010-14,20.8,42.1
723,17031830100,3306,61993,2010-14,24.2,37.8
724,17031830201,5967,53178,2010-14,39.9,44.8
725,17031830202,3757,82656,2010-14,28.2,49.5
726,17031830300,4743,24467,2010-14,24.7,37.6
727,17031830400,4359,51364,2010-14,24.7,37.2
728,17031830500,4306,42337,2010-14,9.9,37.6
729,17031830600,4854,45229,2010-14,40.4,39.400000000000006
730,17031830700,3561,37833,2010-14,44.1,45.4
731,17031830800,2500,61563,2010-14,66.3,35.800000000000004
732,17031830900,2868,83879,2010-14,67.2,35.99999999999999
733,17031831000,2326,139464,2010-14,89.7,43.0
734,17031831100,7643,48586,2010-14,22.6,36.7
735,17031831200,5017,32131,2010-14,11.1,33.199999999999996
736,17031831300,1206,37524,2010-14,0.0,35.099999999999994
737,17031831400,2781,31742,2010-14,7.5,44.2
738,17031831500,3595,56141,2010-14,9.2,40.4
739,17031831600,6922,39844,2010-14,12.9,39.0
740,17031831700,2313,54250,2010-14,18.6,38.4
741,17031831800,6042,66397,2010-14,54.0,31.6
742,17031831900,2619,91944,2010-14,89.3,25.299999999999997
743,17031832000,2181,96953,2010-14,76.5,18.9
744,17031832100,3252,65156,2010-14,63.9,29.5
745,17031832200,3174,80757,2010-14,74.1,36.89999999999999
746,17031832300,1975,99464,2010-14,77.5,33.0
747,17031832400,3387,86607,2010-14,56.0,35.0
748,17031832500,3774,72400,2010-14,70.0,29.6
749,17031832600,4102,134000,2010-14,88.5,27.400000000000002
750,17031832900,2347,42667,2010-14,79.9,22.599999999999998
751,17031833000,2768,104063,2010-14,77.5,33.8
752,17031833100,7417,104292,2010-14,75.6,40.5
753,17031833300,2442,53690,2010-14,62.4,21.7
754,17031833900,2171,22262,2010-14,7.1,33.5
755,17031834000,3616,37250,2010-14,6.9,38.2
756,17031834200,4298,23973,2010-14,18.1,39.60000000000001
757,17031834300,6382,47737,2010-14,16.5,37.8
758,17031834400,4197,36250,2010-14,25.2,40.2
759,17031834500,1563,25938,2010-14,39.1,30.4
760,17031834600,3010,19568,2010-14,5.4,32.4
761,17031834700,2048,23472,2010-14,3.5,31.5
762,17031834800,1833,20429,2010-14,7.2,37.099999999999994
763,17031834900,2292,16705,2010-14,8.2,31.799999999999997
764,17031835000,5811,26992,2010-14,8.4,30.400000000000002
765,17031835100,5555,39608,2010-14,7.1,38.8
766,17031835200,1871,46838,2010-14,15.8,41.800000000000004
767,17031835500,1593,15111,2010-14,14.4,32.3
768,17031835600,950,18485,2010-14,16.0,40.6
769,17031835700,248,4145,2010-14,0.0,32.3
770,17031835800,1469,53977,2010-14,29.2,38.3
771,17031835900,3595,18841,2010-14,21.9,34.4
772,17031836000,2663,52092,2010-14,36.5,41.099999999999994
773,17031836100,1833,28056,2010-14,20.0,26.799999999999997
774,17031836200,1590,85500,2010-14,76.5,5.9
775,17031836300,1583,61250,2010-14,46.7,32.800000000000004
776,17031836400,3209,33705,2010-14,39.0,44.8
777,17031836500,1648,23750,2010-14,13.5,33.199999999999996
778,17031836600,2426,39201,2010-14,25.7,29.7
779,17031836700,2598,25542,2010-14,9.1,30.1
780,17031836800,2261,11209,2010-14,2.7,33.6
781,17031836900,1553,42870,2010-14,5.8,33.300000000000004
782,17031837000,2457,25379,2010-14,14.9,37.9
783,17031837100,1939,22045,2010-14,27.5,32.0
784,17031837300,2158,26756,2010-14,11.0,27.500000000000004
785,17031837400,2034,28250,2010-14,11.5,36.6
786,17031837800,3418,49079,2010-14,36.5,32.0
787,17031838000,2861,17422,2010-14,40.3,28.9
788,17031838100,1837,25789,2010-14,37.8,44.2
789,17031838200,1866,47969,2010-14,79.0,18.2
790,17031838300,1506,34865,2010-14,39.2,36.6
791,17031838600,1404,14146,2010-14,8.5,25.0
792,17031838700,4891,20057,2010-14,8.6,31.5
793,17031838800,3232,22022,2010-14,4.6,33.1
794,17031839000,7868,80091,2010-14,69.7,34.4
795,17031839100,5266,78517,2010-14,61.6,32.3
796,17031839200,2191,41250,2010-14,46.1,45.30000000000001
797,17031839500,1379,20714,2010-14,42.6,37.0
798,17031839600,1831,22891,2010-14,38.2,37.699999999999996
799,17031839700,4794,38071,2010-14,29.2,37.50000000000001
800,17031839800,2653,49904,2010-14,30.1,39.9
801,17031839900,3807,51865,2010-14,27.9,43.5
802,17031840000,2650,54583,2010-14,28.5,44.8
803,17031840100,2346,33317,2010-14,24.6,43.2
804,17031840200,2589,47540,2010-14,25.3,41.2
805,17031840300,4147,44554,2010-14,11.4,36.300000000000004
806,17031840400,3272,31400,2010-14,30.7,42.300000000000004
807,17031840700,4070,29192,2010-14,11.2,32.1
808,17031840800,3419,30691,2010-14,2.4,34.0
809,17031560700,3486,54327,2010-14,8.8,39.5
810,17031560800,5937,61809,2010-14,28.3,40.800000000000004
811,17031560900,5377,73073,2010-14,20.3,49.5
812,17031561000,4892,67700,2010-14,24.5,45.2
813,17031561100,5816,75972,2010-14,20.3,39.699999999999996
814,17031570100,1296,47045,2010-14,9.9,38.4
815,17031570200,1878,45403,2010-14,10.4,34.2
816,17031570300,6337,42647,2010-14,11.6,34.8
817,17031570400,1933,43477,2010-14,6.9,38.1
818,17031570500,2554,41950,2010-14,5.7,33.9
819,17031580100,2996,34028,2010-14,9.5,38.4
820,17031580200,3382,32312,2010-14,9.0,39.1
821,17031580300,2334,34848,2010-14,3.5,43.5
822,17031580400,4051,32114,2010-14,4.1,39.49999999999999
823,17031580501,5059,40273,2010-14,8.8,35.0
824,17031580502,4893,37162,2010-14,8.1,36.3
825,17031580600,5824,38354,2010-14,3.6,32.9
826,17031580700,6292,39089,2010-14,6.3,34.2
827,17031580800,1661,26739,2010-14,8.8,33.1
828,17031590500,1842,50352,2010-14,25.9,37.900000000000006
829,17031590600,3954,39148,2010-14,11.3,36.6
830,17031590700,3234,41136,2010-14,14.5,37.7
831,17031600400,4748,35928,2010-14,16.9,38.199999999999996
832,17031600600,2494,31788,2010-14,16.9,40.6
833,17031600700,2200,30696,2010-14,14.4,44.7
834,17031600900,3658,47051,2010-14,29.3,38.1
835,17031610300,5717,38352,2010-14,10.2,30.400000000000002
836,17031610400,1897,22396,2010-14,1.8,30.299999999999997
837,17031610800,1549,61548,2010-14,17.1,41.1
838,17031611000,1188,19500,2010-14,1.1,33.699999999999996
839,17031611100,2658,23724,2010-14,0.0,31.499999999999996
840,17031611200,2340,27647,2010-14,3.6,35.0
841,17031611300,2768,28438,2010-14,5.7,36.1
842,17031611400,3544,30927,2010-14,2.3,33.8
843,17031611500,2978,29598,2010-14,5.1,28.7
844,17031611600,1529,30530,2010-14,2.8,33.4
845,17031611700,1335,28355,2010-14,0.0,34.4
846,17031611800,2443,22829,2010-14,7.9,36.6
847,17031611900,2154,25642,2010-14,0.0,28.1
848,17031612000,1586,27098,2010-14,0.0,35.2
849,17031612100,1068,22250,2010-14,8.8,39.0
850,17031620100,4765,45638,2010-14,5.9,33.9
851,17031620200,2443,46146,2010-14,7.6,36.8
852,17031620300,7050,48231,2010-14,12.1,33.0
853,17031620400,4907,41442,2010-14,9.6,36.2
854,17031630100,1135,30833,2010-14,0.0,30.0
855,17031630200,2217,31023,2010-14,9.9,40.6
856,17031630300,5332,43295,2010-14,7.0,30.499999999999996
857,17031630400,6835,31158,2010-14,8.5,30.5
858,17031630500,6663,38520,2010-14,3.1,35.800000000000004
859,17031630800,7456,37482,2010-14,6.3,31.0
860,17031630900,5188,40313,2010-14,4.5,32.2
861,17031640100,1230,49080,2010-14,13.0,36.599999999999994
862,17031640300,6947,67190,2010-14,19.7,39.0
863,17031640400,3653,76840,2010-14,18.0,37.0
864,17031640500,3183,59722,2010-14,20.1,41.5
865,17031640600,4432,42431,2010-14,15.9,33.699999999999996
866,17031640700,3235,54659,2010-14,18.1,40.800000000000004
867,17031640800,1772,52337,2010-14,10.7,34.900000000000006
868,17031650100,4510,43250,2010-14,8.8,32.800000000000004
869,17031650200,7628,46605,2010-14,7.2,32.6
870,17031650301,5744,58485,2010-14,7.5,34.199999999999996
871,17031650302,4148,50771,2010-14,10.2,39.5
872,17031650400,7284,47423,2010-14,9.4,36.2
873,17031650500,4163,52500,2010-14,15.1,33.9
874,17031660301,1790,23788,2010-14,8.7,21.9
875,17031660302,5554,40245,2010-14,8.3,34.8
876,17031660400,5975,37481,2010-14,5.9,32.800000000000004
877,17031660500,5702,39759,2010-14,5.4,30.2
878,17031660600,6164,27358,2010-14,1.1,40.4
879,17031660700,2677,31406,2010-14,2.7,31.599999999999998
880,17031660800,6517,35538,2010-14,3.0,34.800000000000004
881,17031660900,4357,28068,2010-14,5.0,42.699999999999996
882,17031661000,5717,29806,2010-14,19.7,32.199999999999996
883,17031661100,6029,43770,2010-14,8.5,37.7
884,17031670100,1601,29963,2010-14,0.0,21.200000000000003
885,17031670200,985,19483,2010-14,0.0,34.4
886,17031670300,1381,31667,2010-14,3.8,36.7
887,17031670400,1858,25625,2010-14,2.9,32.6
888,17031670500,1040,28686,2010-14,8.6,43.300000000000004
889,17031670600,1636,25769,2010-14,9.2,33.4
890,17031670700,1547,22813,2010-14,4.1,27.7
891,17031670800,1688,20833,2010-14,0.9,30.799999999999997
892,17031670900,1496,37566,2010-14,14.1,35.7
893,17031671100,1486,24167,2010-14,10.2,31.400000000000002
894,17031671200,1063,20950,2010-14,12.5,35.6
895,17031671300,2190,31897,2010-14,14.6,42.50000000000001
896,17031671400,1864,26364,2010-14,0.0,41.3
897,17031671500,3254,23443,2010-14,6.5,34.300000000000004
898,17031671600,2291,21364,2010-14,1.5,34.199999999999996
899,17031671800,1139,25149,2010-14,3.3,35.3
900,17031671900,1313,45781,2010-14,2.5,33.6
901,17031672000,4148,41635,2010-14,3.9,38.800000000000004
902,17031680500,1285,20273,2010-14,0.0,23.400000000000002
903,17031680600,1594,18375,2010-14,6.6,40.699999999999996
904,17031680900,3389,15196,2010-14,8.6,34.7
905,17031681000,2873,13512,2010-14,7.4,38.7
906,17031681100,3583,20638,2010-14,0.1,29.599999999999994
907,17031681200,2375,19279,2010-14,8.9,36.3
908,17031681300,2409,19453,2010-14,2.9,38.1
909,17031681400,2898,25031,2010-14,1.6,33.5
910,17031690300,2284,18419,2010-14,7.9,37.6
911,17031690400,3581,22339,2010-14,5.9,43.699999999999996
912,17031690500,952,39563,2010-14,10.5,26.8
913,17031690900,4442,25647,2010-14,8.4,43.2
914,17031691000,2703,50191,2010-14,29.1,42.3
915,17031691100,3209,19816,2010-14,13.7,36.199999999999996
916,17031691200,2975,27244,2010-14,15.8,39.0
917,17031691300,2842,38620,2010-14,10.4,38.7
918,17031691400,2716,28232,2010-14,21.7,40.7
919,17031691500,2124,21638,2010-14,6.0,33.6
920,17031700100,3486,63333,2010-14,6.9,42.300000000000004
921,17031700200,6868,51875,2010-14,13.1,34.00000000000001
922,17031700301,5796,61284,2010-14,11.6,40.5
923,17031700302,5686,64423,2010-14,21.0,38.2
924,17031700401,6261,70703,2010-14,15.1,39.9
925,17031700402,3840,68194,2010-14,16.5,44.6
926,17031700501,7871,72765,2010-14,18.4,47.400000000000006
927,17031700502,3001,78380,2010-14,19.2,41.9
928,17031710100,1406,11696,2010-14,3.3,28.500000000000004
929,17031710200,5845,23924,2010-14,9.5,33.800000000000004
930,17031710300,1365,23990,2010-14,3.5,36.00000000000001
931,17031710400,5092,37442,2010-14,9.0,40.6
932,17031710500,4136,28777,2010-14,12.8,36.6
933,17031710600,1803,22500,2010-14,6.0,28.8
934,17031710700,2695,26221,2010-14,10.6,39.599999999999994
935,17031710800,4917,42566,2010-14,12.8,40.7
936,17031710900,2491,20281,2010-14,10.5,35.9
937,17031711000,3445,29189,2010-14,8.5,36.800000000000004
938,17031711100,3136,36270,2010-14,4.3,40.5
939,17031711200,4928,41438,2010-14,10.8,36.4
940,17031711300,1580,47500,2010-14,9.9,39.99999999999999
941,17031711400,2249,28952,2010-14,2.5,39.5
942,17031711500,2523,38071,2010-14,4.5,39.0
943,17031720100,3685,122917,2010-14,56.3,46.2
944,17031720200,4344,68906,2010-14,51.3,45.5
945,17031720300,3672,115523,2010-14,51.3,45.9
946,17031720400,1974,96034,2010-14,40.7,47.1
947,17031720500,2189,99118,2010-14,65.1,45.50000000000001
948,17031720600,1709,113261,2010-14,64.7,46.8
949,17031720700,3429,64103,2010-14,45.5,44.2
950,17031730100,2548,41154,2010-14,22.8,39.5
951,17031730201,5824,31323,2010-14,21.3,35.900000000000006
952,17031730202,3479,42610,2010-14,11.4,40.400000000000006
953,17031730300,983,41389,2010-14,14.1,39.8
954,17031730400,3801,51442,2010-14,17.0,41.3
955,17031730500,4323,48815,2010-14,14.0,36.8
956,17031730600,3218,43244,2010-14,10.7,45.3
957,17031730700,2259,42628,2010-14,19.2,33.8
958,17031740100,2805,87074,2010-14,34.0,41.5
959,17031740200,6307,97988,2010-14,36.6,38.9
960,17031740300,4436,86406,2010-14,33.9,45.50000000000001
961,17031740400,4809,82673,2010-14,28.3,40.5
962,17031750100,4411,47782,2010-14,12.2,35.9
963,17031750200,2875,65972,2010-14,36.8,46.1
964,17031750300,2657,82845,2010-14,44.0,40.5
965,17031750400,3187,84375,2010-14,35.3,43.300000000000004
966,17031750500,6369,52679,2010-14,18.8,39.1
967,17031750600,3705,44304,2010-14,19.8,39.8
968,17031760801,4399,43638,2010-14,42.2,39.4
969,17031760802,2401,46434,2010-14,26.7,39.9
970,17031760803,7343,41132,2010-14,25.3,40.00000000000001
971,17031770201,5640,56667,2010-14,41.8,46.6
972,17031770202,4936,51300,2010-14,33.9,42.8
973,17031770300,7282,64314,2010-14,26.9,42.49999999999999
974,17031770400,4716,55883,2010-14,28.7,45.1
975,17031770500,4073,44618,2010-14,4.9,42.8
976,17031770601,3163,65273,2010-14,32.4,40.4
977,17031770602,4733,57545,2010-14,13.3,37.699999999999996
978,17031770700,2590,47589,2010-14,18.8,36.0
979,17031770800,5860,49625,2010-14,19.2,40.5
980,17031770901,5237,55032,2010-14,30.5,39.1
981,17031770902,3363,54804,2010-14,19.7,40.9
982,17031800100,2593,250001,2010-14,91.1,42.300000000000004
983,17031800200,6231,159167,2010-14,85.0,47.400000000000006
984,17031800300,3310,157679,2010-14,86.6,41.199999999999996
985,17031800400,3716,218542,2010-14,91.8,45.400000000000006
986,17031800500,5266,211467,2010-14,87.6,43.800000000000004
987,17031800600,2598,192083,2010-14,93.2,43.5
988,17031800700,5050,166875,2010-14,88.6,42.9
989,17031800800,2157,85375,2010-14,73.2,39.699999999999996
990,17031800900,4583,111094,2010-14,74.3,44.900000000000006
991,17031801000,4805,99919,2010-14,81.6,42.900000000000006
992,17031801100,4622,134934,2010-14,83.5,45.0
993,17031801200,3454,176406,2010-14,89.8,40.7
994,17031801300,4605,124792,2010-14,86.2,44.9
995,17031801400,3017,106438,2010-14,67.9,46.099999999999994
996,17031801500,6735,101639,2010-14,60.1,40.6
997,17031801601,4342,104911,2010-14,71.7,40.099999999999994
998,17031801603,3872,50938,2010-14,54.9,39.4
999,17031801605,5421,111392,2010-14,70.3,46.0
1000,17031801606,5830,113929,2010-14,68.3,42.9
1001,17031801607,5349,82324,2010-14,60.8,43.5
1002,17031801608,6308,97083,2010-14,71.3,39.4
1003,17031801701,3590,137333,2010-14,77.8,42.2
1004,17031801702,4893,123875,2010-14,82.5,43.900000000000006
1005,17031801800,5444,117969,2010-14,76.8,40.4
1006,17031801901,4342,72338,2010-14,62.7,39.2
1007,17031801902,3334,136932,2010-14,77.3,42.1
1008,17031802002,5475,92229,2010-14,64.6,41.800000000000004
1009,17031802003,2785,91944,2010-14,49.6,38.199999999999996
1010,17031802004,5554,46849,2010-14,38.0,40.599999999999994
1011,17031802100,3335,131250,2010-14,77.3,46.300000000000004
1012,17031802200,4182,103500,2010-14,76.1,43.1
1013,17031802300,5174,89896,2010-14,76.6,38.6
1014,17031802402,5453,48510,2010-14,37.7,29.2
1015,17031802403,1457,61719,2010-14,57.5,37.800000000000004
1016,17031802404,7385,48217,2010-14,27.7,39.7
1017,17031802503,5512,73302,2010-14,48.7,40.6
1018,17031802504,6676,73125,2010-14,23.2,43.9
