,precision,recall
0,0.2218932035205001,1.0
1,0.2728513087928827,0.9839253218305587
2,0.31059601812925297,0.8290759587517692
3,0.4018279879780971,0.6578149221540742
4,0.46156328143905784,0.578486216890207
5,0.4974410185994258,0.5371705870458988
6,0.5640382159996478,0.43172474219855766
7,0.5661392123744333,0.42923097661252274
8,0.6150512862706379,0.3778728853541821
9,0.603172504957039,0.3075419559210083
10,0.6815956482320943,0.25335310372716857
11,0.6889157073895285,0.250084248837366
12,0.7292658481583563,0.19616499292309766
13,0.9044444444444445,0.08229426433915212
14,0.9402577118313159,0.08114848015097392
15,0.9982378854625551,0.0763631461885826
16,1.0,0.07349868571813709
17,1.0,0.07164521129608412
18,1.0,0.0
