,precision,recall
0,0.2233981211244866,1.0
1,0.22889765606869344,0.9791526029464321
2,0.23039655481787188,0.9687487590835088
3,0.2341635269364388,0.9501647937100425
4,0.23602440906221506,0.935353214470079
5,0.242241817873495,0.907596394393043
6,0.2451450438760474,0.8852400428860739
7,0.25065051804891897,0.841520073065163
8,0.25316767130028295,0.8172179644998611
9,0.2603340236129414,0.7687725846801413
10,0.2635167977126519,0.7319620378826986
11,0.27095210724993396,0.6926100941111067
12,0.2749542539687773,0.6623118770599213
13,0.2788352858860044,0.6171623714410515
14,0.28530974142645105,0.5801135686772823
15,0.29421581975492994,0.5320255728070524
16,0.29832183523907285,0.4962474685303578
17,0.30852639521560515,0.4383909780407418
18,0.31128657686948447,0.39919787158003417
19,0.3149117773633625,0.34868760671881827
20,0.3216261061946903,0.323273636977326
21,0.3281809528126558,0.2874955327006314
22,0.3455282413012581,0.2606520271611802
23,0.35918862027173565,0.22360322439741095
24,0.36830307106030036,0.1957272763372116
25,0.3847834000728067,0.16789103760473334
26,0.3942227763923524,0.1506571893737839
27,0.4039084042680734,0.1337807250923242
28,0.4166551581273305,0.11980304173450343
29,0.4248175182481752,0.10399872930151292
30,0.4432874674600223,0.09466703728705873
31,0.4573971078976641,0.08164237779454393
32,0.47172270002606204,0.07187388317515785
33,0.5120364346128823,0.06250248183298257
34,0.542,0.05380613906206568
35,0.5931873479318734,0.04840567049199857
36,0.6264788732394366,0.04415677242584283
37,0.6525974025974026,0.03990787435968709
38,0.6633064516129032,0.03919310646070762
39,0.7091633466135459,0.0353413016717627
40,0.7228163992869875,0.03220426478179724
41,0.75,0.028233332009689076
42,0.891566265060241,0.0264464122622404
43,0.9282371294851794,0.0236270499940436
44,0.9294670846394985,0.023547631338601438
45,0.9353312302839116,0.023547631338601438
46,0.9322314049586777,0.02239606083469007
47,0.9500860585197934,0.021919548902037088
48,0.9496527777777778,0.02172100226343168
49,1.0,0.0
