,precision,recall
0,0.2218932035205001,1.0
1,0.2537331427291986,0.9929230976612523
2,0.25970056971249394,0.9908337264945744
3,0.27426489966492223,0.9819707488036665
4,0.2792559589680424,0.9779605041450428
5,0.30036808258588593,0.9569993934083709
6,0.30872763659955355,0.9461481431556245
7,0.33021799261578955,0.9132573970479207
8,0.340809592892632,0.8945878546876053
9,0.36533954414952835,0.8405001010986048
10,0.38064179080849175,0.8102716182516682
11,0.40612999188677545,0.759115724203006
12,0.41751102173408616,0.7276403585630519
13,0.44494646003704874,0.6637460403046438
14,0.4588881738527796,0.6247893779065848
15,0.48419400855920114,0.5719148075756555
16,0.49881138567406946,0.5374064837905237
17,0.5251683348498635,0.4862505897418616
18,0.544299674267101,0.45049538316371235
19,0.5610163980117991,0.40698928354788705
20,0.5803927664645837,0.3774684909348251
21,0.6102959010429299,0.3391858192356946
22,0.6281981860024367,0.312765383837703
23,0.6525855210819411,0.27643728516546473
24,0.6690486824475212,0.25240951674866885
25,0.6895748987854251,0.22959493158994407
26,0.7029165724621298,0.2095437082968255
27,0.723186119873817,0.1854148412751904
28,0.7327423339630867,0.16991305519983824
29,0.7537158658831663,0.14696367190132775
30,0.7626399073716712,0.13318056210824292
31,0.7749664128974474,0.1166340904495518
32,0.7867760123013839,0.10345757228550247
33,0.7964922890837617,0.08876457504886433
34,0.8128113879003559,0.07696973781761812
35,0.8360375747224594,0.06598368942508594
36,0.8426183844011143,0.061164655927748196
37,0.8411795137092603,0.054795443822875246
38,0.8475920679886686,0.05041450427984094
39,0.848132271892223,0.04667385590078857
40,0.8524590163934426,0.04380939543034306
41,0.8537414965986394,0.042292916357754264
42,0.8524244553759662,0.040877535890004715
43,0.8585329341317365,0.03865336658354115
44,0.8540840602696272,0.036294399137291905
45,0.8538461538461538,0.03366583541147132
46,0.8508535489667565,0.0319134595942576
47,0.8468292682926829,0.029251196333490596
48,0.8454724409448819,0.02894790051897284
49,0.9931623931623932,0.019579429803868707
50,1.0,0.015400687470512906
51,1.0,0.0
